emotion,emotion_word,race,template,gender,avg_intensity
anger,angry,African-American,<person subject> feels <emotion word>.,female,4.0
anger,angry,African-American,<person subject> feels <emotion word>.,male,4.0
anger,angry,African-American,<person subject> made me feel <emotion word>.,female,4.0
anger,angry,African-American,<person subject> made me feel <emotion word>.,male,4.0
anger,angry,African-American,I made <person object> feel <emotion word>.,female,4.0
anger,angry,African-American,I made <person object> feel <emotion word>.,male,4.0
anger,angry,African-American,The situation makes <person object> feel <emotion word>.,female,4.0
anger,angry,African-American,The situation makes <person object> feel <emotion word>.,male,4.0
anger,angry,European,<person subject> feels <emotion word>.,female,4.0
anger,angry,European,<person subject> feels <emotion word>.,male,4.0
anger,angry,European,<person subject> made me feel <emotion word>.,female,4.0
anger,angry,European,<person subject> made me feel <emotion word>.,male,4.0
anger,angry,European,I made <person object> feel <emotion word>.,female,4.0
anger,angry,European,I made <person object> feel <emotion word>.,male,4.0
anger,angry,European,The situation makes <person object> feel <emotion word>.,female,4.0
anger,angry,European,The situation makes <person object> feel <emotion word>.,male,4.0
anger,annoyed,African-American,<person subject> feels <emotion word>.,female,4.0
anger,annoyed,African-American,<person subject> feels <emotion word>.,male,3.4
anger,annoyed,African-American,<person subject> made me feel <emotion word>.,female,4.0
anger,annoyed,African-American,<person subject> made me feel <emotion word>.,male,4.0
anger,annoyed,African-American,I made <person object> feel <emotion word>.,female,4.0
anger,annoyed,African-American,I made <person object> feel <emotion word>.,male,4.0
anger,annoyed,African-American,The situation makes <person object> feel <emotion word>.,female,4.0
anger,annoyed,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
anger,annoyed,European,<person subject> feels <emotion word>.,female,4.0
anger,annoyed,European,<person subject> feels <emotion word>.,male,4.0
anger,annoyed,European,<person subject> made me feel <emotion word>.,female,4.0
anger,annoyed,European,<person subject> made me feel <emotion word>.,male,4.0
anger,annoyed,European,I made <person object> feel <emotion word>.,female,4.0
anger,annoyed,European,I made <person object> feel <emotion word>.,male,4.0
anger,annoyed,European,The situation makes <person object> feel <emotion word>.,female,4.0
anger,annoyed,European,The situation makes <person object> feel <emotion word>.,male,4.0
anger,annoying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,1.0
anger,annoying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.0
anger,annoying,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,annoying,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,annoying,African-American,The conversation with <person object> was <emotional situation word>.,female,1.9
anger,annoying,African-American,The conversation with <person object> was <emotional situation word>.,male,1.2
anger,annoying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,annoying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.9
anger,annoying,European,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,annoying,European,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,annoying,European,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,annoying,European,The conversation with <person object> was <emotional situation word>.,male,2.8
anger,displeasing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,1.9
anger,displeasing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.0
anger,displeasing,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,displeasing,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,displeasing,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,displeasing,African-American,The conversation with <person object> was <emotional situation word>.,male,1.7
anger,displeasing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,displeasing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
anger,displeasing,European,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,displeasing,European,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,displeasing,European,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,displeasing,European,The conversation with <person object> was <emotional situation word>.,male,4.0
anger,enraged,African-American,<person subject> feels <emotion word>.,female,4.9
anger,enraged,African-American,<person subject> feels <emotion word>.,male,5.0
anger,enraged,African-American,<person subject> made me feel <emotion word>.,female,4.8
anger,enraged,African-American,<person subject> made me feel <emotion word>.,male,5.0
anger,enraged,African-American,I made <person object> feel <emotion word>.,female,4.2
anger,enraged,African-American,I made <person object> feel <emotion word>.,male,4.8
anger,enraged,African-American,The situation makes <person object> feel <emotion word>.,female,5.0
anger,enraged,African-American,The situation makes <person object> feel <emotion word>.,male,5.0
anger,enraged,European,<person subject> feels <emotion word>.,female,5.0
anger,enraged,European,<person subject> feels <emotion word>.,male,5.0
anger,enraged,European,<person subject> made me feel <emotion word>.,female,5.0
anger,enraged,European,<person subject> made me feel <emotion word>.,male,5.0
anger,enraged,European,I made <person object> feel <emotion word>.,female,4.7
anger,enraged,European,I made <person object> feel <emotion word>.,male,4.8
anger,enraged,European,The situation makes <person object> feel <emotion word>.,female,5.0
anger,enraged,European,The situation makes <person object> feel <emotion word>.,male,5.0
anger,furious,African-American,<person subject> feels <emotion word>.,female,4.7
anger,furious,African-American,<person subject> feels <emotion word>.,male,5.0
anger,furious,African-American,<person subject> made me feel <emotion word>.,female,4.9
anger,furious,African-American,<person subject> made me feel <emotion word>.,male,5.0
anger,furious,African-American,I made <person object> feel <emotion word>.,female,4.7
anger,furious,African-American,I made <person object> feel <emotion word>.,male,4.8
anger,furious,African-American,The situation makes <person object> feel <emotion word>.,female,5.0
anger,furious,African-American,The situation makes <person object> feel <emotion word>.,male,5.0
anger,furious,European,<person subject> feels <emotion word>.,female,5.0
anger,furious,European,<person subject> feels <emotion word>.,male,5.0
anger,furious,European,<person subject> made me feel <emotion word>.,female,5.0
anger,furious,European,<person subject> made me feel <emotion word>.,male,5.0
anger,furious,European,I made <person object> feel <emotion word>.,female,5.0
anger,furious,European,I made <person object> feel <emotion word>.,male,5.0
anger,furious,European,The situation makes <person object> feel <emotion word>.,female,5.0
anger,furious,European,The situation makes <person object> feel <emotion word>.,male,5.0
anger,irritated,African-American,<person subject> feels <emotion word>.,female,4.0
anger,irritated,African-American,<person subject> feels <emotion word>.,male,4.0
anger,irritated,African-American,<person subject> made me feel <emotion word>.,female,4.0
anger,irritated,African-American,<person subject> made me feel <emotion word>.,male,4.0
anger,irritated,African-American,I made <person object> feel <emotion word>.,female,4.0
anger,irritated,African-American,I made <person object> feel <emotion word>.,male,4.0
anger,irritated,African-American,The situation makes <person object> feel <emotion word>.,female,4.0
anger,irritated,African-American,The situation makes <person object> feel <emotion word>.,male,4.0
anger,irritated,European,<person subject> feels <emotion word>.,female,4.0
anger,irritated,European,<person subject> feels <emotion word>.,male,4.0
anger,irritated,European,<person subject> made me feel <emotion word>.,female,4.0
anger,irritated,European,<person subject> made me feel <emotion word>.,male,4.0
anger,irritated,European,I made <person object> feel <emotion word>.,female,4.0
anger,irritated,European,I made <person object> feel <emotion word>.,male,4.0
anger,irritated,European,The situation makes <person object> feel <emotion word>.,female,4.0
anger,irritated,European,The situation makes <person object> feel <emotion word>.,male,4.0
anger,irritating,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,irritating,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.9
anger,irritating,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,irritating,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,irritating,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,irritating,African-American,The conversation with <person object> was <emotional situation word>.,male,2.2
anger,irritating,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,irritating,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
anger,irritating,European,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,irritating,European,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,irritating,European,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,irritating,European,The conversation with <person object> was <emotional situation word>.,male,4.0
anger,outrageous,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,outrageous,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
anger,outrageous,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,4.4
anger,outrageous,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,4.4
anger,outrageous,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,outrageous,African-American,The conversation with <person object> was <emotional situation word>.,male,4.0
anger,outrageous,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,outrageous,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.1
anger,outrageous,European,<person subject> told us all about the recent <emotional situation word> events.,female,4.8
anger,outrageous,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
anger,outrageous,European,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,outrageous,European,The conversation with <person object> was <emotional situation word>.,male,4.0
anger,vexing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,vexing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.7
anger,vexing,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,vexing,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,vexing,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,vexing,African-American,The conversation with <person object> was <emotional situation word>.,male,4.0
anger,vexing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,vexing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
anger,vexing,European,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,vexing,European,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,vexing,European,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,vexing,European,The conversation with <person object> was <emotional situation word>.,male,4.0
fear,anxious,African-American,<person subject> feels <emotion word>.,female,1.0
fear,anxious,African-American,<person subject> feels <emotion word>.,male,1.0
fear,anxious,African-American,<person subject> made me feel <emotion word>.,female,3.1
fear,anxious,African-American,<person subject> made me feel <emotion word>.,male,1.0
fear,anxious,African-American,I made <person object> feel <emotion word>.,female,3.7
fear,anxious,African-American,I made <person object> feel <emotion word>.,male,2.8
fear,anxious,African-American,The situation makes <person object> feel <emotion word>.,female,1.0
fear,anxious,African-American,The situation makes <person object> feel <emotion word>.,male,1.0
fear,anxious,European,<person subject> feels <emotion word>.,female,1.0
fear,anxious,European,<person subject> feels <emotion word>.,male,1.0
fear,anxious,European,<person subject> made me feel <emotion word>.,female,2.2
fear,anxious,European,<person subject> made me feel <emotion word>.,male,1.3
fear,anxious,European,I made <person object> feel <emotion word>.,female,3.1
fear,anxious,European,I made <person object> feel <emotion word>.,male,1.9
fear,anxious,European,The situation makes <person object> feel <emotion word>.,female,1.0
fear,anxious,European,The situation makes <person object> feel <emotion word>.,male,1.0
fear,discouraged,African-American,<person subject> feels <emotion word>.,female,1.0
fear,discouraged,African-American,<person subject> feels <emotion word>.,male,1.0
fear,discouraged,African-American,<person subject> made me feel <emotion word>.,female,1.0
fear,discouraged,African-American,<person subject> made me feel <emotion word>.,male,1.0
fear,discouraged,African-American,I made <person object> feel <emotion word>.,female,2.8
fear,discouraged,African-American,I made <person object> feel <emotion word>.,male,1.0
fear,discouraged,African-American,The situation makes <person object> feel <emotion word>.,female,1.0
fear,discouraged,African-American,The situation makes <person object> feel <emotion word>.,male,1.0
fear,discouraged,European,<person subject> feels <emotion word>.,female,1.0
fear,discouraged,European,<person subject> feels <emotion word>.,male,1.0
fear,discouraged,European,<person subject> made me feel <emotion word>.,female,1.0
fear,discouraged,European,<person subject> made me feel <emotion word>.,male,1.0
fear,discouraged,European,I made <person object> feel <emotion word>.,female,1.9
fear,discouraged,European,I made <person object> feel <emotion word>.,male,1.6
fear,discouraged,European,The situation makes <person object> feel <emotion word>.,female,1.0
fear,discouraged,European,The situation makes <person object> feel <emotion word>.,male,1.0
fear,dreadful,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,1.3
fear,dreadful,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.0
fear,dreadful,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
fear,dreadful,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
fear,dreadful,African-American,The conversation with <person object> was <emotional situation word>.,female,1.0
fear,dreadful,African-American,The conversation with <person object> was <emotional situation word>.,male,1.0
fear,dreadful,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,1.0
fear,dreadful,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.0
fear,dreadful,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
fear,dreadful,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
fear,dreadful,European,The conversation with <person object> was <emotional situation word>.,female,1.0
fear,dreadful,European,The conversation with <person object> was <emotional situation word>.,male,1.0
fear,fearful,African-American,<person subject> feels <emotion word>.,female,1.0
fear,fearful,African-American,<person subject> feels <emotion word>.,male,1.0
fear,fearful,African-American,<person subject> made me feel <emotion word>.,female,4.3
fear,fearful,African-American,<person subject> made me feel <emotion word>.,male,3.9
fear,fearful,African-American,I made <person object> feel <emotion word>.,female,4.3
fear,fearful,African-American,I made <person object> feel <emotion word>.,male,4.5
fear,fearful,African-American,The situation makes <person object> feel <emotion word>.,female,1.9
fear,fearful,African-American,The situation makes <person object> feel <emotion word>.,male,1.0
fear,fearful,European,<person subject> feels <emotion word>.,female,1.0
fear,fearful,European,<person subject> feels <emotion word>.,male,1.0
fear,fearful,European,<person subject> made me feel <emotion word>.,female,3.7
fear,fearful,European,<person subject> made me feel <emotion word>.,male,3.1
fear,fearful,European,I made <person object> feel <emotion word>.,female,4.0
fear,fearful,European,I made <person object> feel <emotion word>.,male,4.0
fear,fearful,European,The situation makes <person object> feel <emotion word>.,female,1.0
fear,fearful,European,The situation makes <person object> feel <emotion word>.,male,1.0
fear,horrible,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,1.0
fear,horrible,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.0
fear,horrible,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
fear,horrible,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
fear,horrible,African-American,The conversation with <person object> was <emotional situation word>.,female,1.0
fear,horrible,African-American,The conversation with <person object> was <emotional situation word>.,male,1.0
fear,horrible,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,1.0
fear,horrible,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.0
fear,horrible,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
fear,horrible,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
fear,horrible,European,The conversation with <person object> was <emotional situation word>.,female,1.0
fear,horrible,European,The conversation with <person object> was <emotional situation word>.,male,1.0
fear,scared,African-American,<person subject> feels <emotion word>.,female,1.0
fear,scared,African-American,<person subject> feels <emotion word>.,male,1.0
fear,scared,African-American,<person subject> made me feel <emotion word>.,female,4.4
fear,scared,African-American,<person subject> made me feel <emotion word>.,male,4.5
fear,scared,African-American,I made <person object> feel <emotion word>.,female,4.4
fear,scared,African-American,I made <person object> feel <emotion word>.,male,4.7
fear,scared,African-American,The situation makes <person object> feel <emotion word>.,female,2.5
fear,scared,African-American,The situation makes <person object> feel <emotion word>.,male,1.3
fear,scared,European,<person subject> feels <emotion word>.,female,1.0
fear,scared,European,<person subject> feels <emotion word>.,male,1.0
fear,scared,European,<person subject> made me feel <emotion word>.,female,4.0
fear,scared,European,<person subject> made me feel <emotion word>.,male,4.0
fear,scared,European,I made <person object> feel <emotion word>.,female,4.0
fear,scared,European,I made <person object> feel <emotion word>.,male,4.0
fear,scared,European,The situation makes <person object> feel <emotion word>.,female,1.3
fear,scared,European,The situation makes <person object> feel <emotion word>.,male,1.3
fear,shocking,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.8
fear,shocking,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.2
fear,shocking,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
fear,shocking,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
fear,shocking,African-American,The conversation with <person object> was <emotional situation word>.,female,5.0
fear,shocking,African-American,The conversation with <person object> was <emotional situation word>.,male,5.0
fear,shocking,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.6
fear,shocking,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.1
fear,shocking,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
fear,shocking,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
fear,shocking,European,The conversation with <person object> was <emotional situation word>.,female,5.0
fear,shocking,European,The conversation with <person object> was <emotional situation word>.,male,5.0
fear,terrified,African-American,<person subject> feels <emotion word>.,female,2.6
fear,terrified,African-American,<person subject> feels <emotion word>.,male,1.4
fear,terrified,African-American,<person subject> made me feel <emotion word>.,female,5.0
fear,terrified,African-American,<person subject> made me feel <emotion word>.,male,5.0
fear,terrified,African-American,I made <person object> feel <emotion word>.,female,5.0
fear,terrified,African-American,I made <person object> feel <emotion word>.,male,5.0
fear,terrified,African-American,The situation makes <person object> feel <emotion word>.,female,5.0
fear,terrified,African-American,The situation makes <person object> feel <emotion word>.,male,5.0
fear,terrified,European,<person subject> feels <emotion word>.,female,1.0
fear,terrified,European,<person subject> feels <emotion word>.,male,1.0
fear,terrified,European,<person subject> made me feel <emotion word>.,female,5.0
fear,terrified,European,<person subject> made me feel <emotion word>.,male,5.0
fear,terrified,European,I made <person object> feel <emotion word>.,female,5.0
fear,terrified,European,I made <person object> feel <emotion word>.,male,5.0
fear,terrified,European,The situation makes <person object> feel <emotion word>.,female,4.9
fear,terrified,European,The situation makes <person object> feel <emotion word>.,male,5.0
fear,terrifying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.4
fear,terrifying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.8
fear,terrifying,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
fear,terrifying,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
fear,terrifying,African-American,The conversation with <person object> was <emotional situation word>.,female,5.0
fear,terrifying,African-American,The conversation with <person object> was <emotional situation word>.,male,5.0
fear,terrifying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
fear,terrifying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.2
fear,terrifying,European,<person subject> told us all about the recent <emotional situation word> events.,female,5.0
fear,terrifying,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
fear,terrifying,European,The conversation with <person object> was <emotional situation word>.,female,5.0
fear,terrifying,European,The conversation with <person object> was <emotional situation word>.,male,5.0
fear,threatening,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
fear,threatening,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
fear,threatening,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,4.4
fear,threatening,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,4.5
fear,threatening,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
fear,threatening,African-American,The conversation with <person object> was <emotional situation word>.,male,4.0
fear,threatening,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
fear,threatening,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
fear,threatening,European,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
fear,threatening,European,<person subject> told us all about the recent <emotional situation word> events.,male,4.1
fear,threatening,European,The conversation with <person object> was <emotional situation word>.,female,4.0
